Campaign_Name,Campaign_Type,Recipient_ID,Delivery_Status,Open_Status,Click_Status,Conversion_Status,Engagement_Time,Sent_Timestamp,Opened_Timestamp,Clicked_Timestamp,Converted_Timestamp,Recipient_Age,Recipient_Gender,Recipient_Location,Click_Through_Rate
Black Friday,Email,147,Delivered,Opened,Not Clicked,Converted,395,2025-01-13 05:25:19,2025-01-25 13:52:45,2025-01-04 10:44:21,Not Converted,65,Female,San Francisco,0.0
Holiday Specials,Push Notification,148,Bounced,Opened,Clicked,Converted,308,2025-01-11 04:19:40,2025-01-18 06:13:04,2025-01-15 12:13:30,Not Converted,19,Male,Miami,0.0
Winter Fest,SMS,149,Delivered,Opened,Not Clicked,Not Converted,118,2025-01-20 20:17:11,Not Opened,Not Clicked,Not Converted,24,Non-Binary,Los Angeles,0.0
Loyalty Program,Email,150,Bounced,Not Opened,Clicked,Not Converted,557,2025-01-16 01:29:41,Not Opened,2025-01-10 21:32:21,2025-01-08 15:17:07,34,Female,Houston,0.0
Loyalty Program,SMS,151,Bounced,Opened,Not Clicked,Not Converted,295,2025-01-06 06:58:25,2025-01-23 01:57:54,2025-01-06 06:12:35,2025-01-04 18:33:11,30,Female,Chicago,0.0
Black Friday,SMS,152,Delivered,Opened,Clicked,Converted,275,2025-01-01 08:11:46,2025-01-22 19:53:10,2025-01-10 16:52:21,2025-01-03 06:44:58,28,Female,Los Angeles,1.0
Winter Fest,Push Notification,153,Bounced,Opened,Clicked,Not Converted,163,2025-01-04 03:30:48,Not Opened,2025-01-12 16:04:08,2025-01-20 23:15:36,29,Non-Binary,Houston,0.0
Winter Fest,Push Notification,154,Bounced,Opened,Clicked,Not Converted,207,2025-01-02 18:38:40,Not Opened,Not Clicked,2025-01-24 10:07:39,34,Non-Binary,Miami,0.0
Black Friday,SMS,155,Bounced,Opened,Clicked,Not Converted,47,2025-01-18 05:22:44,2024-12-31 03:19:17,Not Clicked,2024-12-31 04:14:15,49,Male,Chicago,0.0
Loyalty Program,SMS,156,Bounced,Not Opened,Not Clicked,Not Converted,339,2025-01-02 23:22:43,2025-01-11 07:24:34,2025-01-02 04:26:02,2025-01-24 17:52:37,40,Non-Binary,San Francisco,0.0
Holiday Specials,Email,157,Delivered,Opened,Not Clicked,Converted,575,2025-01-03 05:55:11,2025-01-11 09:26:41,Not Clicked,2025-01-03 11:15:07,26,Male,Miami,0.0
Winter Fest,Email,158,Bounced,Not Opened,Clicked,Converted,599,2025-01-21 01:51:44,2025-01-25 17:02:36,2025-01-07 21:50:28,2025-01-03 16:07:18,33,Male,New York,0.0
Winter Fest,Email,159,Bounced,Opened,Not Clicked,Converted,407,2025-01-13 06:02:05,Not Opened,Not Clicked,Not Converted,59,Female,Chicago,0.0
Holiday Specials,SMS,160,Bounced,Opened,Not Clicked,Converted,201,2025-01-03 00:57:58,2025-01-19 01:01:51,Not Clicked,Not Converted,32,Non-Binary,Los Angeles,0.0
New Product Launch,Email,161,Delivered,Opened,Clicked,Converted,162,2024-12-30 17:06:25,Not Opened,2025-01-04 23:00:21,Not Converted,55,Male,Houston,1.0
Loyalty Program,Email,162,Bounced,Opened,Clicked,Converted,552,2025-01-22 00:40:54,2024-12-29 01:25:28,Not Clicked,Not Converted,45,Non-Binary,Houston,0.0
Summer Sale,Push Notification,163,Delivered,Not Opened,Not Clicked,Not Converted,110,2025-01-01 14:04:24,Not Opened,Not Clicked,Not Converted,31,Male,New York,0.0
Winter Fest,Push Notification,164,Bounced,Not Opened,Not Clicked,Converted,54,2025-01-12 00:50:02,Not Opened,2025-01-03 00:21:11,2025-01-20 18:22:14,52,Female,Chicago,0.0
Summer Sale,SMS,165,Delivered,Opened,Clicked,Not Converted,355,2025-01-15 20:31:00,Not Opened,Not Clicked,2025-01-09 17:24:46,58,Female,Houston,1.0
Holiday Specials,SMS,166,Delivered,Opened,Clicked,Converted,1,2025-01-16 15:14:35,2025-01-21 00:42:58,Not Clicked,2025-01-25 02:14:12,31,Female,Houston,1.0
New Product Launch,Email,167,Delivered,Not Opened,Clicked,Not Converted,163,2025-01-10 23:04:27,Not Opened,2025-01-05 11:47:08,2025-01-24 17:35:48,63,Male,Miami,1.0
New Product Launch,SMS,168,Delivered,Not Opened,Not Clicked,Not Converted,54,2025-01-22 10:03:50,2025-01-16 19:48:21,2025-01-05 06:27:36,Not Converted,22,Male,San Francisco,0.0
Winter Fest,SMS,169,Bounced,Not Opened,Not Clicked,Not Converted,570,2025-01-13 04:06:23,Not Opened,Not Clicked,Not Converted,23,Female,New York,0.0
Holiday Specials,SMS,170,Bounced,Not Opened,Clicked,Converted,485,2025-01-11 05:26:42,Not Opened,2025-01-23 21:26:41,Not Converted,64,Non-Binary,Miami,0.0
New Product Launch,Email,171,Bounced,Not Opened,Clicked,Converted,496,2025-01-23 21:53:24,2025-01-16 08:56:30,Not Clicked,2024-12-27 23:35:36,33,Female,Chicago,0.0
Winter Fest,Push Notification,172,Bounced,Opened,Not Clicked,Converted,543,2025-01-23 18:16:52,Not Opened,2024-12-28 07:07:14,Not Converted,65,Female,Chicago,0.0
Summer Sale,Email,173,Bounced,Opened,Clicked,Converted,166,2025-01-02 08:57:50,Not Opened,Not Clicked,2024-12-28 06:43:48,29,Male,New York,0.0
Holiday Specials,SMS,174,Bounced,Not Opened,Clicked,Not Converted,71,2025-01-07 20:40:30,Not Opened,2025-01-20 11:15:46,2025-01-18 19:30:07,32,Male,New York,0.0
Summer Sale,Email,175,Delivered,Not Opened,Clicked,Not Converted,131,2025-01-07 05:46:03,Not Opened,Not Clicked,2025-01-11 01:07:10,26,Female,Chicago,1.0
Winter Fest,SMS,176,Bounced,Not Opened,Not Clicked,Converted,83,2025-01-02 17:06:02,Not Opened,2025-01-15 22:09:30,Not Converted,40,Female,Chicago,0.0
Loyalty Program,SMS,177,Bounced,Not Opened,Not Clicked,Converted,0,2025-01-13 21:14:56,2025-01-20 10:05:10,2025-01-21 00:36:44,2025-01-22 11:24:54,31,Male,Houston,0.0
Holiday Specials,Push Notification,178,Bounced,Opened,Clicked,Converted,425,2025-01-01 12:19:49,Not Opened,Not Clicked,2025-01-05 02:18:29,19,Non-Binary,Los Angeles,0.0
Loyalty Program,SMS,179,Bounced,Not Opened,Clicked,Converted,490,2025-01-01 04:59:45,2024-12-31 15:30:23,Not Clicked,Not Converted,46,Non-Binary,San Francisco,0.0
Black Friday,SMS,180,Bounced,Opened,Clicked,Not Converted,482,2025-01-12 11:17:52,2025-01-24 01:27:43,2025-01-09 09:36:02,Not Converted,60,Male,Los Angeles,0.0
Holiday Specials,Email,181,Bounced,Opened,Clicked,Converted,316,2025-01-03 16:26:05,2025-01-09 13:27:09,Not Clicked,Not Converted,44,Non-Binary,New York,0.0
Holiday Specials,SMS,182,Bounced,Opened,Not Clicked,Converted,143,2025-01-13 11:30:37,2025-01-01 05:18:24,Not Clicked,2025-01-10 11:20:08,64,Male,Miami,0.0
Holiday Specials,Push Notification,183,Delivered,Opened,Not Clicked,Converted,239,2025-01-09 22:14:51,2025-01-01 17:32:11,Not Clicked,Not Converted,57,Female,Houston,0.0
Holiday Specials,SMS,184,Bounced,Not Opened,Clicked,Converted,370,2025-01-24 15:28:56,2025-01-25 03:14:33,Not Clicked,2025-01-24 16:03:55,59,Female,Houston,0.0
New Product Launch,Email,185,Delivered,Not Opened,Not Clicked,Converted,322,2025-01-05 00:13:37,2025-01-02 15:34:20,2025-01-14 13:54:31,2025-01-25 23:48:30,25,Male,Miami,0.0
Loyalty Program,SMS,186,Delivered,Not Opened,Clicked,Not Converted,153,2025-01-15 19:59:07,Not Opened,Not Clicked,2025-01-19 04:19:15,31,Male,San Francisco,1.0
Holiday Specials,Email,187,Delivered,Not Opened,Not Clicked,Not Converted,406,2025-01-02 23:46:46,Not Opened,2025-01-12 02:32:13,2025-01-07 00:23:36,25,Male,Miami,0.0
New Product Launch,Push Notification,188,Bounced,Opened,Clicked,Converted,396,2025-01-26 17:50:17,Not Opened,Not Clicked,2025-01-19 12:32:12,42,Non-Binary,New York,0.0
Black Friday,SMS,189,Bounced,Not Opened,Not Clicked,Not Converted,552,2025-01-04 16:02:13,Not Opened,Not Clicked,Not Converted,54,Non-Binary,Chicago,0.0
Black Friday,Email,190,Bounced,Not Opened,Not Clicked,Converted,281,2025-01-08 18:05:28,2025-01-06 17:58:38,2025-01-21 07:48:02,Not Converted,61,Female,New York,0.0
Black Friday,Push Notification,191,Bounced,Opened,Clicked,Not Converted,336,2025-01-23 05:47:03,Not Opened,Not Clicked,2025-01-22 19:20:31,41,Female,Los Angeles,0.0
Summer Sale,SMS,192,Bounced,Opened,Not Clicked,Converted,461,2024-12-29 11:03:08,Not Opened,2025-01-03 14:13:28,2025-01-06 12:50:20,64,Male,Houston,0.0
Summer Sale,Push Notification,193,Delivered,Not Opened,Clicked,Not Converted,123,2025-01-11 20:45:55,2025-01-23 07:38:00,Not Clicked,Not Converted,38,Male,Houston,1.0
Black Friday,SMS,194,Bounced,Opened,Not Clicked,Not Converted,172,2025-01-15 01:15:18,2025-01-11 09:44:27,Not Clicked,2025-01-01 20:59:54,25,Non-Binary,Miami,0.0
Black Friday,Email,195,Delivered,Not Opened,Not Clicked,Not Converted,433,2025-01-18 06:05:14,2025-01-04 09:29:58,Not Clicked,2025-01-03 23:14:12,63,Male,Los Angeles,0.0
Holiday Specials,Email,196,Delivered,Opened,Not Clicked,Converted,592,2025-01-12 22:49:05,Not Opened,2025-01-20 01:47:33,Not Converted,55,Female,Los Angeles,0.0
Winter Fest,Email,197,Bounced,Opened,Clicked,Converted,220,2025-01-16 22:08:47,2025-01-09 15:27:43,2024-12-28 16:36:22,Not Converted,57,Female,Los Angeles,0.0
Loyalty Program,Push Notification,198,Bounced,Opened,Clicked,Not Converted,256,2024-12-28 10:19:55,Not Opened,2025-01-16 23:03:55,Not Converted,46,Non-Binary,Los Angeles,0.0
Winter Fest,Email,199,Bounced,Opened,Clicked,Not Converted,373,2025-01-11 12:13:45,Not Opened,Not Clicked,2025-01-20 07:45:13,50,Male,Chicago,0.0
Black Friday,Push Notification,200,Delivered,Opened,Not Clicked,Converted,585,2025-01-07 02:46:22,Not Opened,Not Clicked,2024-12-28 00:58:09,35,Female,San Francisco,0.0
Holiday Specials,Push Notification,201,Delivered,Not Opened,Not Clicked,Converted,117,2024-12-27 23:58:52,2025-01-02 19:02:17,2025-01-05 02:33:25,Not Converted,44,Female,Houston,0.0
Black Friday,Push Notification,202,Delivered,Not Opened,Not Clicked,Converted,195,2025-01-11 18:17:05,Not Opened,Not Clicked,Not Converted,29,Male,Los Angeles,0.0
New Product Launch,Push Notification,203,Delivered,Not Opened,Clicked,Not Converted,388,2025-01-18 20:21:39,Not Opened,Not Clicked,Not Converted,24,Female,Chicago,1.0
New Product Launch,SMS,204,Delivered,Opened,Clicked,Converted,369,2025-01-21 04:55:20,2025-01-09 16:17:23,Not Clicked,2025-01-12 07:15:58,56,Female,Miami,1.0
Winter Fest,SMS,205,Bounced,Opened,Not Clicked,Not Converted,247,2025-01-13 05:04:27,Not Opened,Not Clicked,Not Converted,33,Non-Binary,Houston,0.0
Summer Sale,Email,206,Bounced,Not Opened,Clicked,Converted,328,2025-01-20 02:10:32,Not Opened,Not Clicked,2025-01-04 04:59:20,32,Female,Los Angeles,0.0
New Product Launch,Email,207,Delivered,Not Opened,Not Clicked,Converted,66,2025-01-17 00:11:11,Not Opened,2025-01-21 17:04:50,2025-01-19 16:10:52,33,Non-Binary,Chicago,0.0
Winter Fest,Email,208,Bounced,Opened,Clicked,Not Converted,503,2025-01-13 15:06:29,Not Opened,2025-01-13 20:29:05,Not Converted,30,Non-Binary,San Francisco,0.0
Winter Fest,Email,209,Delivered,Opened,Clicked,Converted,323,2025-01-06 14:19:10,2025-01-19 19:33:00,2025-01-14 12:19:41,2025-01-17 19:47:38,36,Non-Binary,Los Angeles,1.0
Summer Sale,SMS,210,Delivered,Not Opened,Clicked,Converted,192,2025-01-12 02:18:00,2025-01-26 22:28:52,Not Clicked,2025-01-11 08:25:04,51,Male,Houston,1.0
Black Friday,Email,211,Delivered,Opened,Not Clicked,Not Converted,271,2025-01-05 21:49:04,Not Opened,Not Clicked,Not Converted,48,Non-Binary,Los Angeles,0.0
Winter Fest,SMS,212,Delivered,Opened,Not Clicked,Converted,433,2025-01-02 23:12:13,2025-01-14 01:49:33,2025-01-13 14:19:03,2025-01-15 17:00:51,59,Non-Binary,New York,0.0
Summer Sale,SMS,213,Bounced,Not Opened,Not Clicked,Converted,6,2025-01-06 00:23:40,2024-12-31 10:59:37,2025-01-09 07:22:12,Not Converted,55,Male,New York,0.0
Holiday Specials,SMS,214,Bounced,Not Opened,Not Clicked,Not Converted,171,2025-01-23 03:02:02,2025-01-04 21:12:44,Not Clicked,Not Converted,41,Female,San Francisco,0.0
New Product Launch,SMS,215,Bounced,Not Opened,Not Clicked,Converted,74,2025-01-09 04:52:41,2025-01-06 13:56:46,Not Clicked,2025-01-04 09:17:15,48,Non-Binary,Houston,0.0
Winter Fest,Email,216,Bounced,Opened,Clicked,Not Converted,463,2025-01-08 09:22:47,Not Opened,Not Clicked,Not Converted,43,Female,Chicago,0.0
Summer Sale,SMS,217,Bounced,Opened,Not Clicked,Converted,573,2025-01-06 23:53:26,Not Opened,2025-01-04 20:15:14,2025-01-22 10:18:47,22,Non-Binary,Los Angeles,0.0
Loyalty Program,Push Notification,218,Delivered,Opened,Not Clicked,Not Converted,585,2024-12-29 14:09:07,2024-12-28 17:56:56,2025-01-07 01:15:55,Not Converted,23,Female,Miami,0.0
New Product Launch,Push Notification,219,Delivered,Opened,Clicked,Not Converted,576,2024-12-31 22:44:37,2025-01-02 15:14:44,2025-01-11 02:23:30,Not Converted,56,Female,Chicago,1.0
Black Friday,Email,220,Delivered,Not Opened,Not Clicked,Converted,567,2025-01-26 10:49:13,Not Opened,Not Clicked,2025-01-10 23:37:52,58,Non-Binary,Chicago,0.0
Winter Fest,Email,221,Delivered,Not Opened,Not Clicked,Not Converted,13,2025-01-02 11:26:19,2025-01-05 11:55:24,Not Clicked,Not Converted,44,Female,Los Angeles,0.0
Winter Fest,SMS,222,Bounced,Opened,Clicked,Converted,373,2025-01-24 19:15:32,Not Opened,2025-01-07 16:02:37,2025-01-23 08:40:45,37,Female,Chicago,0.0
New Product Launch,Email,223,Delivered,Not Opened,Not Clicked,Converted,378,2025-01-02 16:46:06,Not Opened,2025-01-16 15:41:24,Not Converted,32,Male,Miami,0.0
Winter Fest,Push Notification,224,Bounced,Not Opened,Not Clicked,Converted,264,2025-01-01 14:25:21,2025-01-18 13:09:40,Not Clicked,2025-01-12 05:08:38,28,Female,San Francisco,0.0
Winter Fest,Email,225,Bounced,Not Opened,Clicked,Converted,502,2025-01-15 02:43:59,Not Opened,2025-01-15 21:47:59,2025-01-04 10:45:25,43,Male,Miami,0.0
Holiday Specials,SMS,226,Bounced,Not Opened,Clicked,Not Converted,243,2025-01-02 12:20:34,2025-01-15 21:03:40,2025-01-06 18:50:09,Not Converted,43,Male,Chicago,0.0
Winter Fest,SMS,227,Delivered,Not Opened,Not Clicked,Converted,315,2025-01-04 08:39:35,Not Opened,2025-01-03 11:51:09,Not Converted,22,Non-Binary,New York,0.0
Black Friday,SMS,228,Bounced,Opened,Not Clicked,Converted,571,2025-01-16 14:16:33,Not Opened,2025-01-06 03:53:18,2025-01-03 01:17:31,49,Non-Binary,Chicago,0.0
New Product Launch,Push Notification,229,Delivered,Opened,Not Clicked,Converted,309,2025-01-16 04:09:31,2025-01-12 01:01:11,Not Clicked,2025-01-21 07:00:09,55,Female,Chicago,0.0
Holiday Specials,SMS,230,Bounced,Opened,Clicked,Converted,209,2025-01-10 14:07:01,Not Opened,2025-01-09 08:49:25,Not Converted,42,Female,Chicago,0.0
Black Friday,SMS,231,Delivered,Not Opened,Not Clicked,Not Converted,51,2025-01-06 21:08:23,Not Opened,2025-01-12 14:30:03,Not Converted,49,Male,San Francisco,0.0
Holiday Specials,SMS,232,Delivered,Not Opened,Not Clicked,Converted,377,2025-01-16 09:05:19,Not Opened,2025-01-10 15:27:00,Not Converted,29,Male,New York,0.0
Summer Sale,Push Notification,233,Bounced,Not Opened,Clicked,Converted,194,2025-01-25 17:27:01,Not Opened,2025-01-10 08:43:28,2025-01-25 19:56:34,31,Male,Miami,0.0
Winter Fest,Email,234,Bounced,Not Opened,Clicked,Not Converted,274,2025-01-17 13:09:45,Not Opened,2025-01-13 12:21:57,2024-12-30 15:28:30,22,Female,San Francisco,0.0
Winter Fest,SMS,235,Bounced,Opened,Clicked,Converted,58,2025-01-22 13:01:29,Not Opened,Not Clicked,2024-12-29 16:09:33,34,Female,San Francisco,0.0
Summer Sale,Email,236,Bounced,Opened,Not Clicked,Not Converted,122,2024-12-29 17:02:53,Not Opened,2025-01-01 05:05:26,Not Converted,59,Non-Binary,Miami,0.0
New Product Launch,Push Notification,237,Delivered,Opened,Clicked,Converted,81,2025-01-23 19:39:09,Not Opened,2025-01-02 18:02:09,2025-01-09 16:06:27,50,Non-Binary,San Francisco,1.0
Holiday Specials,Push Notification,238,Bounced,Not Opened,Not Clicked,Converted,382,2025-01-12 23:54:59,Not Opened,Not Clicked,2024-12-30 19:24:44,35,Female,San Francisco,0.0
Winter Fest,SMS,239,Bounced,Opened,Not Clicked,Not Converted,460,2025-01-12 12:19:45,Not Opened,2025-01-25 21:28:29,2024-12-31 23:35:08,27,Female,Miami,0.0
Summer Sale,SMS,240,Bounced,Opened,Clicked,Converted,24,2025-01-24 18:27:48,Not Opened,2025-01-22 02:35:52,2025-01-22 21:22:42,64,Male,San Francisco,0.0
Holiday Specials,Email,241,Delivered,Opened,Clicked,Not Converted,34,2025-01-05 13:12:20,2025-01-10 04:10:10,2025-01-02 12:37:53,Not Converted,45,Non-Binary,Los Angeles,1.0
Black Friday,Push Notification,242,Delivered,Not Opened,Clicked,Not Converted,368,2025-01-23 02:45:30,Not Opened,2025-01-12 20:03:40,Not Converted,25,Male,Chicago,1.0
Loyalty Program,Email,243,Bounced,Opened,Clicked,Converted,421,2025-01-18 09:05:58,2025-01-10 19:34:59,Not Clicked,2025-01-21 23:06:33,51,Non-Binary,San Francisco,0.0
Winter Fest,Email,244,Bounced,Opened,Not Clicked,Converted,21,2025-01-26 15:03:21,Not Opened,2025-01-23 23:52:31,Not Converted,41,Female,Chicago,0.0
Black Friday,Email,245,Delivered,Not Opened,Not Clicked,Converted,122,2025-01-05 20:28:33,Not Opened,Not Clicked,Not Converted,38,Male,New York,0.0
Holiday Specials,Push Notification,246,Bounced,Opened,Clicked,Not Converted,206,2025-01-09 21:36:27,2024-12-31 06:54:14,2025-01-25 03:08:59,Not Converted,27,Non-Binary,Houston,0.0
Winter Fest,Email,247,Delivered,Opened,Clicked,Not Converted,533,2025-01-26 20:39:41,Not Opened,2025-01-08 13:46:48,Not Converted,45,Male,Chicago,1.0
Winter Fest,Push Notification,248,Delivered,Opened,Clicked,Converted,161,2025-01-05 14:04:09,2025-01-16 03:35:04,2025-01-22 05:22:59,Not Converted,23,Female,Los Angeles,1.0
Holiday Specials,SMS,249,Delivered,Not Opened,Not Clicked,Not Converted,100,2025-01-08 00:05:20,2025-01-12 14:15:11,2025-01-12 10:53:38,Not Converted,35,Female,Los Angeles,0.0
New Product Launch,Email,250,Bounced,Opened,Not Clicked,Converted,538,2025-01-01 18:25:58,Not Opened,Not Clicked,2025-01-11 23:30:03,47,Male,Houston,0.0
New Product Launch,Push Notification,251,Delivered,Opened,Clicked,Converted,59,2025-01-04 09:41:24,2025-01-12 22:11:47,2025-01-24 09:03:40,Not Converted,50,Female,New York,1.0
Black Friday,Email,252,Bounced,Opened,Not Clicked,Converted,428,2025-01-05 06:45:33,2025-01-01 05:05:42,Not Clicked,2025-01-15 01:20:16,53,Female,New York,0.0
Holiday Specials,SMS,253,Bounced,Opened,Clicked,Converted,325,2025-01-13 02:28:40,2025-01-15 08:06:28,2025-01-17 02:12:52,2025-01-16 16:08:19,23,Male,Chicago,0.0
Winter Fest,SMS,254,Delivered,Opened,Clicked,Converted,501,2025-01-19 03:31:19,Not Opened,2025-01-04 10:35:16,Not Converted,37,Female,Houston,1.0
Summer Sale,Push Notification,255,Delivered,Opened,Not Clicked,Not Converted,238,2024-12-30 20:41:16,Not Opened,Not Clicked,2024-12-30 12:04:51,59,Female,New York,0.0
Winter Fest,SMS,256,Delivered,Not Opened,Not Clicked,Converted,91,2025-01-16 16:02:16,2024-12-29 20:25:09,Not Clicked,Not Converted,20,Female,Miami,0.0
Loyalty Program,Push Notification,257,Bounced,Not Opened,Clicked,Not Converted,168,2025-01-10 16:20:53,2025-01-23 14:28:47,Not Clicked,2025-01-21 11:16:29,58,Male,Los Angeles,0.0
Loyalty Program,Email,258,Bounced,Not Opened,Clicked,Converted,265,2025-01-16 15:19:53,2024-12-28 18:22:40,2025-01-21 11:43:13,2024-12-28 05:35:47,20,Female,Houston,0.0
Loyalty Program,Push Notification,259,Bounced,Not Opened,Clicked,Converted,546,2025-01-09 11:56:18,2025-01-10 23:33:38,Not Clicked,Not Converted,60,Male,Chicago,0.0
Loyalty Program,Email,260,Delivered,Opened,Not Clicked,Converted,452,2025-01-09 19:02:09,2025-01-19 18:42:31,2025-01-25 00:45:39,2025-01-18 12:20:18,39,Female,New York,0.0
Holiday Specials,SMS,261,Delivered,Opened,Clicked,Not Converted,360,2025-01-12 19:52:15,2025-01-08 12:08:00,Not Clicked,Not Converted,29,Non-Binary,Los Angeles,1.0
Black Friday,Push Notification,262,Bounced,Not Opened,Clicked,Converted,480,2025-01-01 14:52:23,2024-12-31 13:03:20,Not Clicked,2025-01-21 17:44:44,49,Female,Miami,0.0
Summer Sale,Email,263,Delivered,Not Opened,Not Clicked,Converted,244,2025-01-19 07:02:39,2025-01-09 03:22:57,2025-01-07 19:31:29,2025-01-01 12:19:11,56,Non-Binary,Houston,0.0
Loyalty Program,Push Notification,264,Bounced,Not Opened,Clicked,Converted,504,2025-01-06 20:40:59,2025-01-05 23:12:21,2025-01-09 11:52:24,2025-01-02 00:45:55,45,Male,Houston,0.0
Holiday Specials,Push Notification,265,Bounced,Opened,Not Clicked,Converted,120,2025-01-13 05:50:25,Not Opened,Not Clicked,Not Converted,61,Male,Los Angeles,0.0
Black Friday,Push Notification,266,Delivered,Opened,Not Clicked,Not Converted,121,2025-01-22 06:02:43,2025-01-22 12:56:34,Not Clicked,Not Converted,44,Female,Miami,0.0
Winter Fest,Email,267,Bounced,Not Opened,Clicked,Not Converted,574,2025-01-14 06:51:52,2025-01-10 11:10:42,Not Clicked,Not Converted,54,Male,Houston,0.0
New Product Launch,Email,268,Delivered,Not Opened,Clicked,Not Converted,417,2025-01-07 08:12:29,2025-01-04 00:13:24,Not Clicked,2024-12-31 06:30:58,43,Non-Binary,New York,1.0
New Product Launch,Push Notification,269,Bounced,Opened,Not Clicked,Converted,330,2025-01-06 20:31:49,Not Opened,Not Clicked,Not Converted,20,Male,San Francisco,0.0
Summer Sale,Email,270,Delivered,Not Opened,Clicked,Not Converted,197,2025-01-02 09:48:01,Not Opened,Not Clicked,Not Converted,31,Male,New York,1.0
Summer Sale,Push Notification,271,Bounced,Opened,Not Clicked,Converted,399,2025-01-23 18:23:50,Not Opened,2025-01-07 01:51:01,2025-01-21 09:51:13,45,Male,Los Angeles,0.0
Winter Fest,Email,272,Delivered,Not Opened,Clicked,Converted,319,2025-01-25 22:45:34,Not Opened,Not Clicked,2025-01-12 23:32:45,58,Non-Binary,Miami,1.0
Loyalty Program,Email,273,Bounced,Not Opened,Clicked,Converted,563,2024-12-29 03:28:30,Not Opened,2025-01-12 19:12:21,2025-01-04 14:24:19,49,Male,Miami,0.0
Winter Fest,SMS,274,Bounced,Opened,Clicked,Converted,552,2024-12-28 13:03:17,Not Opened,2025-01-16 05:42:01,2025-01-11 06:56:26,45,Male,San Francisco,0.0
Winter Fest,Email,275,Bounced,Opened,Not Clicked,Converted,14,2025-01-11 01:00:10,Not Opened,Not Clicked,2025-01-03 12:05:04,58,Female,New York,0.0
Loyalty Program,SMS,276,Bounced,Opened,Not Clicked,Not Converted,6,2025-01-15 08:10:58,2024-12-30 00:48:49,2025-01-10 06:24:54,2024-12-28 13:37:33,20,Male,Los Angeles,0.0
Winter Fest,SMS,277,Bounced,Opened,Not Clicked,Converted,428,2025-01-14 02:41:33,Not Opened,2025-01-24 09:46:42,2025-01-07 12:23:44,65,Female,Houston,0.0
Winter Fest,SMS,278,Delivered,Not Opened,Not Clicked,Not Converted,405,2024-12-31 05:27:27,Not Opened,2025-01-11 14:21:57,2025-01-04 21:02:38,24,Non-Binary,San Francisco,0.0
Winter Fest,SMS,279,Delivered,Opened,Clicked,Converted,382,2024-12-29 16:55:09,Not Opened,2025-01-04 18:38:17,2025-01-25 11:48:38,53,Female,Los Angeles,1.0
New Product Launch,Email,280,Delivered,Not Opened,Clicked,Converted,54,2025-01-24 17:40:34,2025-01-17 02:18:30,Not Clicked,2025-01-14 09:46:30,51,Female,Los Angeles,1.0
Winter Fest,SMS,281,Bounced,Opened,Clicked,Converted,171,2025-01-17 20:55:09,Not Opened,2025-01-19 02:44:05,Not Converted,56,Non-Binary,San Francisco,0.0
Winter Fest,Email,282,Delivered,Opened,Not Clicked,Not Converted,296,2025-01-11 19:06:34,Not Opened,Not Clicked,2025-01-10 03:43:30,53,Female,Miami,0.0
Winter Fest,SMS,283,Bounced,Opened,Clicked,Not Converted,456,2025-01-24 12:19:50,2025-01-15 00:05:50,2025-01-10 04:39:16,Not Converted,39,Male,Chicago,0.0
Winter Fest,Push Notification,284,Delivered,Opened,Clicked,Not Converted,49,2024-12-30 23:23:20,2025-01-03 18:31:03,Not Clicked,2025-01-16 13:07:01,48,Female,Houston,1.0
New Product Launch,SMS,285,Delivered,Not Opened,Not Clicked,Converted,265,2025-01-08 05:21:50,Not Opened,2025-01-17 11:52:04,Not Converted,61,Non-Binary,Miami,0.0
New Product Launch,Email,286,Bounced,Opened,Not Clicked,Not Converted,65,2024-12-30 02:21:29,2025-01-01 11:32:41,Not Clicked,2025-01-19 10:59:42,62,Non-Binary,Los Angeles,0.0
Winter Fest,Push Notification,287,Delivered,Opened,Clicked,Not Converted,400,2025-01-26 11:19:42,2025-01-10 05:57:49,Not Clicked,Not Converted,43,Female,New York,1.0
Winter Fest,SMS,288,Delivered,Not Opened,Not Clicked,Not Converted,68,2025-01-20 21:13:59,Not Opened,Not Clicked,2025-01-10 08:30:35,44,Non-Binary,Los Angeles,0.0
Winter Fest,Push Notification,289,Bounced,Opened,Not Clicked,Not Converted,299,2025-01-05 20:25:21,2025-01-17 08:01:39,Not Clicked,2025-01-15 14:56:04,65,Non-Binary,Chicago,0.0
Holiday Specials,Push Notification,290,Delivered,Opened,Not Clicked,Converted,480,2025-01-22 19:05:34,Not Opened,Not Clicked,Not Converted,20,Female,Los Angeles,0.0
Summer Sale,Push Notification,291,Bounced,Opened,Not Clicked,Not Converted,483,2025-01-03 02:37:31,2025-01-02 23:12:09,Not Clicked,2025-01-22 20:08:16,42,Male,Miami,0.0
New Product Launch,Push Notification,292,Delivered,Opened,Clicked,Converted,122,2025-01-17 05:26:10,2025-01-01 03:48:09,2025-01-24 01:35:38,Not Converted,58,Female,Los Angeles,1.0
Summer Sale,SMS,293,Delivered,Opened,Not Clicked,Not Converted,430,2025-01-23 15:40:51,Not Opened,Not Clicked,Not Converted,47,Non-Binary,Chicago,0.0
Winter Fest,Email,294,Delivered,Opened,Clicked,Converted,14,2025-01-13 02:49:53,Not Opened,Not Clicked,Not Converted,37,Female,Miami,1.0
